t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1560276025,1,0.099260,0.184009,0.196694,0.198892,events/second
1560276035,1,0.049898,0.155760,0.190246,0.196694,events/second
1560276045,1,0.033288,0.131848,0.184009,0.194521,events/second
1560276055,1,0.024976,0.111607,0.177976,0.192372,events/second
1560276065,1,0.019984,0.094473,0.172142,0.190246,events/second
1560276075,1,0.016656,0.079970,0.166498,0.188144,events/second
1560276085,1,0.014278,0.067693,0.161040,0.186065,events/second
1560276095,1,0.012494,0.057301,0.155760,0.184009,events/second
1560276105,1,0.011106,0.048504,0.150654,0.181976,events/second
1560276115,1,0.009996,0.041058,0.145715,0.179965,events/second
1560276127,1,0.008945,0.034755,0.140938,0.177976,events/second
1560276135,1,0.008331,0.029419,0.136317,0.176010,events/second
