t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1560276025,11769618,5636,241.687506,127,410.976364,135.000000,162.000000,1009.000000,1174.000000,1440.000000,5586.000000
1560276035,21376582,5944,230.076328,127,375.932472,135.000000,146.000000,998.000000,1175.000000,1371.000000,5944.000000
1560276045,34364884,5944,218.194326,126,356.067425,134.000000,142.000000,979.000000,1055.000000,1221.000000,5284.000000
1560276055,47825856,5040,195.800787,126,246.721868,133.000000,140.000000,961.000000,1006.000000,1091.000000,1483.000000
1560276065,61230489,1483,192.261377,126,210.197183,132.000000,139.000000,942.000000,1002.000000,1037.000000,1371.000000
1560276075,74474210,1483,201.319175,125,229.738210,132.000000,138.000000,958.000000,1037.000000,1153.000000,1468.000000
1560276085,84432227,1483,208.090074,125,239.469462,132.000000,140.000000,978.000000,1048.000000,1153.000000,1468.000000
1560276095,97991833,1483,200.390096,126,223.919320,132.000000,138.000000,972.000000,1014.000000,1055.000000,1271.000000
1560276105,111716284,1271,195.178223,126,217.781400,132.000000,137.000000,972.000000,1017.000000,1076.000000,1202.000000
1560276115,125344093,1271,193.784865,126,214.716911,132.000000,137.000000,967.000000,1017.000000,1062.000000,1229.000000
1560276127,137622404,1503,204.062856,126,239.227486,132.000000,136.000000,979.000000,1049.000000,1175.000000,1503.000000
1560276135,148803174,1503,197.344320,126,224.624762,132.000000,136.000000,977.000000,1034.000000,1096.000000,1503.000000
