t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1560276025,11789382,6.194000,0.402080,0.281000,0.432473,0.295000,0.315000,1.182000,1.566000,1.649000,5.746000,1169569.088972,1104093.382700,1094209.306159,1092496.942938,calls/second,microseconds
1560276035,21393786,6.194000,0.393074,0.281000,0.357112,0.297000,0.316000,1.177000,1.345000,1.633000,5.544000,1067311.733755,1084759.429213,1090037.050967,1091088.971937,calls/second,microseconds
1560276045,34377422,6.194000,0.387128,0.281000,0.340755,0.298000,0.316000,1.160000,1.308000,1.371000,5.544000,1144205.763100,1117654.870255,1096878.249793,1093382.535595,calls/second,microseconds
1560276055,47846930,6.194000,0.372910,0.282000,0.291052,0.295000,0.309000,1.144000,1.205000,1.345000,2.430000,1194818.670995,1152822.292864,1105063.674814,1096179.686512,calls/second,microseconds
1560276065,61247538,6.194000,0.360125,0.282000,0.267175,0.294000,0.306000,1.123000,1.195000,1.300000,1.865000,1223871.219755,1181593.055917,1112773.554190,1098876.427069,calls/second,microseconds
1560276075,74490156,1.774000,0.360977,0.282000,0.233091,0.293000,0.305000,1.135000,1.195000,1.325000,1.671000,1240582.207146,1203501.850921,1119711.409787,1101368.517740,calls/second,microseconds
1560276085,84447938,1.774000,0.368027,0.281000,0.245596,0.293000,0.306000,1.159000,1.235000,1.282000,1.671000,1205646.620936,1173804.107263,1115738.085121,1100210.747917,calls/second,microseconds
1560276095,98008196,1.671000,0.361727,0.281000,0.233273,0.292000,0.302000,1.146000,1.198000,1.235000,1.646000,1224394.342204,1201808.547519,1123609.517623,1103034.630625,calls/second,microseconds
1560276105,111731296,1.671000,0.362022,0.279000,0.237046,0.290000,0.301000,1.147000,1.191000,1.235000,1.645000,1240862.561946,1228009.715627,1131770.625140,1106012.747757,calls/second,microseconds
1560276115,125358883,1.671000,0.363677,0.279000,0.241472,0.289000,0.299000,1.147000,1.190000,1.235000,1.645000,1253056.858261,1248697.343700,1139348.933348,1108851.885677,calls/second,microseconds
1560276127,137629474,1.821000,0.362590,0.279000,0.243545,0.288000,0.298000,1.146000,1.190000,1.265000,1.821000,1231083.960726,1245484.054069,1142347.616101,1110205.175751,calls/second,microseconds
1560276135,148816350,1.821000,0.369249,0.279000,0.255350,0.288000,0.298000,1.155000,1.205000,1.320000,1.821000,1239709.624385,1226870.472590,1141492.795737,1110257.548454,calls/second,microseconds
