t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1560276025,2970,152982436,143751.706550,1275,4585031.904169,3527.000000,4796.000000,15453.000000,43360.000000,58653.000000,230617.000000
1560276035,5451,207380,5781.115240,1275,12484.761723,3972.000000,5301.000000,9360.000000,25182.000000,43845.000000,199146.000000
1560276045,8865,227347,7099.844592,1479,10933.275814,5432.000000,7883.000000,14309.000000,25182.000000,42287.000000,227347.000000
1560276055,12320,546166,8976.732597,1479,20841.932619,7293.000000,9461.000000,17540.000000,26715.000000,42287.000000,546166.000000
1560276065,15731,546166,9687.691442,1505,19999.279955,8064.000000,10157.000000,18910.000000,29162.000000,46231.000000,546166.000000
1560276075,19082,75581,9000.750295,1549,5612.770137,8112.000000,10213.000000,18607.000000,24304.000000,30778.000000,59141.000000
1560276085,21658,60404,8910.857014,1672,5813.962503,7934.000000,10198.000000,18628.000000,24715.000000,31644.000000,60404.000000
1560276095,25168,346084,10101.009752,1672,13813.245881,8332.000000,10835.000000,20060.000000,29859.000000,37862.000000,346084.000000
1560276105,28677,346084,10441.966188,1672,13527.289734,8375.000000,11298.000000,20156.000000,30778.000000,39878.000000,346084.000000
1560276115,32260,346084,10669.529810,1672,12869.457869,8506.000000,12072.000000,20454.000000,31201.000000,40322.000000,346084.000000
1560276127,35393,1033068,12184.212009,1672,41009.216645,8589.000000,12599.000000,21228.000000,32331.000000,43091.000000,1033068.000000
1560276135,38226,1033068,12356.395363,1532,38728.900336,8358.000000,13369.000000,24598.000000,38768.000000,50195.000000,1033068.000000
