t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1560276025,34,3.374309,2.391893,2.239669,2.213296,events/second
1560276035,235,11.725207,5.227401,2.830199,2.411499,events/second
1560276045,625,20.804354,10.368641,4.014129,2.815579,events/second
1560276055,3549,88.634945,52.843829,13.346887,5.977397,events/second
1560276065,8854,176.936205,125.924887,30.335169,11.789509,events/second
1560276075,12768,212.653713,166.641216,42.183729,15.989026,events/second
1560276085,26596,379.720353,360.965949,86.425991,31.114944,events/second
1560276095,38200,477.245672,481.339084,121.505580,43.570456,events/second
1560276105,53552,594.754891,647.112169,168.082654,60.095239,events/second
1560276115,76341,763.107004,904.163290,237.568282,84.645639,events/second
1560276127,94415,844.547722,1045.286707,289.164839,103.703528,events/second
1560276135,106147,884.270784,1066.583730,318.147093,115.501173,events/second
